,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
AbhishekSinha4,2,22.22222222222222,0,1,0.3333333333333333,2,77,0
Aditya Pandey,3,33.33333333333333,0,3,1.0,0,6,494059
Aishwarya P S,2,22.22222222222222,0.6666666666666666,3,1.0,0,0,2
adityapandey1998,1,11.11111111111111,0,1,0.3333333333333333,1,1,0
