,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Naveen Suresh,2,9.523809523809524,0,3,1.0,0,6,4465
SRIKUMAR S,5,23.809523809523807,0,3,1.0,0,8,1058
Srikumar S,,,0,3,1.0,,,
midsterx,3,14.285714285714285,1.0,3,1.0,3,20,1
navsuresh,1,4.761904761904762,0,2,0.6666666666666666,1,11,0
unknown,2,9.523809523809524,0,0,0.0,,,
