,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Meghana Vyakaranam,1,7.6923076923076925,0,3,1.5,0,1,498
tanmayaudupa,3,23.076923076923077,1.0,1,0.5,3,723,0
tej-prash,9,69.23076923076923,1.8,1,0.5,11,8122,999
