,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
SKsaqlain,2,66.66666666666666,0,0,0,2,2,1
Sumair Ahmed Shariff,1,33.33333333333333,0,3,0,0,0,1
