,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Niharika0306,10,52.63157894736842,3.3333333333333335,7,3.5,4,13577,64
Omkar Metri,7,36.84210526315789,2.3333333333333335,3,1.5,0,7,14954
maanvin,2,10.526315789473683,0,7,3.5,2,14194,0
