,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Nikhil V Revankar,9,21.951219512195124,9.0,3,1.5,0,0,18
VikramG,2,4.878048780487805,0,0,0.0,2,281,1
Vinayaka Kamath,11,26.82926829268293,3.6666666666666665,3,1.5,0,12,78
craterkamath,8,19.51219512195122,4.0,2,1.0,16,4690,95
vikram.g,3,7.317073170731707,0,3,1.5,2,124,0
