,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Nishant,2,20.0,0.4,0,0,7,226,2
Nishant Ravi Shankar,1,10.0,0.5,3,0,,,
abhishikta-sai,3,30.0,1.0,0,0,1,2,1
pruthvipatnala,2,20.0,0,0,0,3,5,1
