,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
K-vennela,6,42.857142857142854,0,1,0.3333333333333333,6,45,13
alka-si,8,57.14285714285714,2.6666666666666665,1,0.3333333333333333,8,166,12
